p_code,p_name,p_day,rev_25,hc_25,rev_26,hc_26,rev_diff,rev_pct,status,pday_bucket
21560,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>요세미티+타이오가패스 2박3일",3,0.0,0.0,998.0,2.0,998.0,100.0,신규(올해만),2~3박
22000,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span>로스앤젤레스 시내관광",1,3225.0,31.0,1032.0,7.0,-2193.0,-68.0,동시운영,당일
22001,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 샌디에고 일일투어",1,1592.0,8.0,995.0,5.0,-597.0,-37.5,동시운영,당일
22220,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 그랜드캐년 라스베가스 2박3일 - 화출발",3,6875.0,15.0,0.0,0.0,-6875.0,-100.0,단종(작년만),2~3박
22220,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 라스베가스+그랜드캐년 2박3일 - 화요일 출발",3,22530.0,49.0,32503.0,65.0,9973.0,44.26542387927208,동시운영,2~3박
22221,"<span style=""color:#014099;""><strong>[전지역출발]</strong></span>신 옐로스톤 2박3일",3,10051.73,9.0,15986.619999999999,19.0,5934.889999999999,59.043468139315316,동시운영,2~3박
22330,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 4대캐년 3박4일 - 화요일 출발",4,82032.6,127.0,60509.2,84.0,-21523.40000000001,-26.23761772758636,동시운영,2~3박
22331,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 샌프란시스코(요세미티) 3박4일-B 토요일 출발",4,10055.0,15.0,15223.74,22.0,5168.74,51.40467429139731,동시운영,2~3박
22332,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 요세미티+샌프란시스코 3박4일 - 금요일 출발",4,16043.0,25.0,7799.0,11.0,-8244.0,-51.386897712397925,동시운영,2~3박
22333,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span> 4대캐년 4박 5일 - 월요일 출발",5,28687.8,32.0,41707.229999999996,47.0,13019.429999999997,45.3831593917972,동시운영,4박+
22333,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span> 4대캐년 5일 - 월요일 출발",5,7530.0,10.0,0.0,0.0,-7530.0,-100.0,단종(작년만),4박+
22338,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span> 라스베가스+그랜드캐년 3박 4일 - 월요일 출발",4,10215.8,13.0,12338.0,19.0,2122.2000000000007,20.773703478924812,동시운영,2~3박
22440,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 미서부 7대캐년+세도나 4박5일",5,73985.97,88.0,27658.0,32.0,-46327.97,-62.617236754481965,동시운영,4박+
22441,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span> 7대캐년+세도나 5박 6일 - 일요일 출발",6,42269.65,39.0,9207.59,7.0,-33062.06,-78.21701859371912,동시운영,4박+
22441,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span> 미서부 7대 캐년+세도나 5박6일",6,6471.94,5.0,0.0,0.0,-6471.94,-100.0,단종(작년만),4박+
22442,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span> 요세미티+샌프란시스코 4박5일 - 목요일 출발",5,5073.0,7.0,1618.0,2.0,-3455.0,-68.1056574019318,동시운영,4박+
22443,"<span style=""color:#B8860B;""><strong>[타지역출발]</strong></span> 샌프란시스코+요세미티 4박5일 - 금요일 출발",5,14537.79,13.0,10462.3,12.0,-4075.4900000000016,-28.033765792462273,동시운영,4박+
22550,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 미서부 실속 5박6일 - 토출발",6,21136.2,21.0,33801.4,31.0,12665.2,59.92184025510735,동시운영,4박+
22660,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 4대캐년/샌프란시스코(요세미티)-B 6박7일(토요일 출발)",7,45590.2,40.0,25716.83,22.0,-19873.369999999995,-43.591320064399795,동시운영,4박+
22661,"<span style=""color:#1E90FF;""><strong>[LA출발]</strong></span> 4대캐년/샌프란시스코(요세미티)-A 6박7일(화요일 출발)",7,38169.0,33.0,12224.0,10.0,-25945.0,-67.97401032251304,동시운영,4박+
